Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
MAG01	o__Bacteroidales (UID2654)	163	486	266	10	476	0	0	0	0	97.90	0.00	0.00
MAG02	o__Clostridiales (UID1226)	155	278	158	5	270	3	0	0	0	97.47	1.27	33.33
MAG03	p__Actinobacteria (UID2112)	31	211	124	1	210	0	0	0	0	99.19	0.00	0.00
MAG04	o__Bacteroidales (UID2617)	213	406	265	14	391	1	0	0	0	96.58	0.38	0.00
MAG05	f__Lachnospiraceae (UID1255)	90	354	174	4	348	2	0	0	0	98.95	0.69	0.00
MAG06	o__Lactobacillales (UID355)	490	336	184	15	320	1	0	0	0	93.37	0.27	0.00
MAG07	o__Bacteroidales (UID2657)	160	492	269	2	489	0	1	0	0	99.26	0.74	0.00
MAG08	g__Lactobacillus (UID380)	58	449	129	3	446	0	0	0	0	98.58	0.00	0.00
MAG09	o__Bacteroidales (UID2657)	160	490	268	2	487	1	0	0	0	99.25	0.37	0.00
MAG10	o__Bacteroidales (UID2617)	213	406	265	28	376	2	0	0	0	95.96	0.50	0.00
MAG11	f__Lachnospiraceae (UID1255)	90	354	174	28	316	10	0	0	0	91.53	1.81	0.00
MAG12	c__Clostridia (UID1118)	387	223	124	41	182	0	0	0	0	79.04	0.00	0.00
MAG13	f__Lachnospiraceae (UID1255)	90	354	174	17	335	2	0	0	0	95.61	0.24	50.00
MAG14	p__Bacteroidetes (UID2605)	350	316	210	8	307	1	0	0	0	96.43	0.48	0.00
MAG15	k__Bacteria (UID2495)	2993	147	91	13	134	0	0	0	0	85.71	0.00	0.00
MAG16	f__Lachnospiraceae (UID1255)	90	354	174	10	341	3	0	0	0	96.69	1.25	0.00
MAG17	k__Bacteria (UID2372)	131	177	106	4	169	4	0	0	0	96.23	1.35	0.00
MAG18	o__Bacteroidales (UID2617)	213	406	265	6	393	7	0	0	0	98.43	1.85	0.00
MAG19	o__Lactobacillales (UID374)	471	350	191	1	348	1	0	0	0	99.48	0.52	0.00
MAG20	o__Clostridiales (UID1212)	172	263	149	7	255	1	0	0	0	95.97	0.34	0.00
MAG21	f__Lachnospiraceae (UID1286)	57	420	207	38	381	1	0	0	0	92.63	0.48	0.00
MAG22	c__Deltaproteobacteria (UID3218)	61	284	169	5	277	2	0	0	0	98.16	1.18	0.00
MAG23	f__Lachnospiraceae (UID1255)	90	354	174	15	324	15	0	0	0	93.87	5.12	40.00
MAG24	k__Bacteria (UID2569)	434	278	186	24	254	0	0	0	0	93.01	0.00	0.00
MAG25	f__Lachnospiraceae (UID1255)	90	354	174	47	295	12	0	0	0	85.74	1.53	33.33
MAG26	o__Bacteroidales (UID2617)	213	406	265	37	366	3	0	0	0	89.83	0.75	0.00
MAG27	f__Lachnospiraceae (UID1255)	90	354	174	28	324	2	0	0	0	92.80	0.72	0.00
MAG28	o__Bacteroidales (UID2617)	213	406	265	36	367	3	0	0	0	90.54	0.40	0.00
MAG29	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
MAG30	o__Bacteroidales (UID2617)	213	406	265	39	365	2	0	0	0	91.92	0.75	0.00
MAG31	k__Bacteria (UID3187)	2258	186	116	23	162	1	0	0	0	82.27	0.86	0.00
MAG32	o__Bacteroidales (UID2617)	213	406	265	23	382	1	0	0	0	97.55	0.38	0.00
MAG33	f__Lachnospiraceae (UID1255)	90	354	174	41	303	10	0	0	0	85.77	2.85	0.00
